,Unnamed: 0,attraction_id,country,province,city,lien_detail,image,category,nbre_review,address,name,rating,price,lat,lng
21,21,21,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d288031-Reviews-Chelsea_Market-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/23/e9/a4/chelsea-market.jpg?w=500&h=-1&s=1,22. Chelsea Market,9807,"{'lat': 40.74523544, 'lng': -74.00596619}",Flea & Street Markets,4.5,88.0,40.74523544,-74.00596619
22,22,22,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d143358-Reviews-Intrepid_Museum-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/80/de/5f/the-flight-deck.jpg?w=500&h=400&s=1,23. Intrepid Museum,9633,"{'lat': 40.76280975, 'lng': -73.99315643}",Military Museums,4.5,36.0,40.76280975,-73.99315643
23,23,23,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d626630-Reviews-Ground_Zero_Museum_Workshop-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/ef/43/33/bose-audio-stories-behind.jpg?w=500&h=-1&s=1,24. Ground Zero Museum Workshop,3064,"{'lat': 40.72782516, 'lng': -73.99477386}",Speciality Museums,5.0,32.5,40.72782516,-73.99477386
24,24,24,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d110164-Reviews-Radio_City_Music_Hall-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/a2/48/86/radio-city-music-hall.jpg?w=500&h=400&s=1,25. Radio City Music Hall,9300,"{'lat': 40.75902939, 'lng': -73.97929382}",Points of Interest & Landmarks • Theaters,4.5,42.0,40.75902939,-73.97929382
25,25,25,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d275371-Reviews-Madison_Square_Garden-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/01/ee/69/madison-square-garden.jpg?w=500&h=400&s=1,26. Madison Square Garden,9170,"{'lat': 40.75611115, 'lng': -74.00055695}",Arenas & Stadiums,4.5,46.0,40.75611115,-74.00055695
26,26,26,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d106609-Reviews-The_Met_Cloisters-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/b7/f9/4c/the-cloisters.jpg?w=500&h=-1&s=1,27. The Met Cloisters,5159,"{'lat': 40.86769867, 'lng': -73.92121887}",Art Galleries • Art Museums,4.5,276.4,40.86769867,-73.92121887
27,27,27,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d110144-Reviews-Fifth_Avenue-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/3a/a5/0c/5th-avenue-ny.jpg?w=500&h=400&s=1,28. Fifth Avenue,8582,"{'lat': 40.71304703, 'lng': -74.00723267}",Points of Interest & Landmarks,4.5,99.0,40.71304703,-74.00723267
28,28,28,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d525259-Reviews-Museum_of_Sex-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/76/d0/e0/museum-of-sex.jpg?w=500&h=400&s=1,29. Museum of Sex,735,"{'lat': 40.74420166, 'lng': -73.98829651}",Speciality Museums • History Museums,4.5,79.0,40.74420166,-73.98829651
29,29,29,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d107466-Reviews-Frick_Collection-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/9f/f3/21/harbor-of-dieppe-changement.jpg?w=500&h=-1&s=1,30. Frick Collection,8674,"{'lat': 40.77041245, 'lng': -73.96220398}",Art Museums,4.5,39.0,40.77041245,-73.96220398
30,30,30,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d104370-Reviews-Ellis_Island-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/08/d3/fa/ellis-island-nov-2015.jpg?w=500&h=400&s=1,31. Ellis Island,7316,"{'lat': 40.71304703, 'lng': -74.00723267}",Historic Sites • Points of Interest & Landmarks,4.5,44.0,40.71304703,-74.00723267
31,31,31,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d10340693-Reviews-The_Oculus-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/d2/f4/23/lights-for-the-holidays.jpg?w=500&h=-1&s=1,32. The Oculus,2677,"{'lat': 40.71304703, 'lng': -74.00723267}",Architectural Buildings • Monuments & Statues,4.5,109.0,40.71304703,-74.00723267
32,32,32,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d104369-Reviews-Tenement_Museum-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/27/d5/3a/tenement-museum.jpg?w=500&h=400&s=1,33. Tenement Museum,6723,"{'lat': 40.71304703, 'lng': -74.00723267}",Speciality Museums,4.5,79.0,40.71304703,-74.00723267
33,33,33,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d107356-Reviews-The_Morgan_Library_Museum-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/7c/7c/e9/photo0jpg.jpg?w=500&h=400&s=1,34. The Morgan Library & Museum,2113,"{'lat': 40.76448642, 'lng': -73.81283806}",Speciality Museums • Libraries,4.5,126.14,40.76448642,-73.81283806
34,34,34,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d10535579-Reviews-World_Trade_Center_s_Liberty_Park-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/db/b1/bd/9-11.jpg?w=500&h=-1&s=1,35. World Trade Center's Liberty Park,3011,"{'lat': 40.70780182, 'lng': -74.01190186}",Parks,5.0,34.99,40.70780182,-74.01190186
35,35,35,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d143367-Reviews-Greenwich_Village-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/43/81/e8/una-calle-del-greenwich.jpg?w=500&h=-1&s=1,36. Greenwich Village,3835,"{'lat': 40.72782516, 'lng': -73.99477386}",Neighborhoods,4.5,39.0,40.72782516,-73.99477386
36,36,36,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d143362-Reviews-SoHo-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/35/de/88/soho.jpg?w=500&h=-1&s=1,37. SoHo,3858,"{'lat': 40.70780182, 'lng': -74.01190186}",Neighborhoods,4.5,39.0,40.70780182,-74.01190186
37,37,37,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d10749293-Reviews-Christmas_Spectacular_Starring_the_Radio_City_Rockettes-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/c0/1c/ff/christmas-spectacular.jpg?w=500&h=400&s=1,38. Christmas Spectacular Starring the Radio City Rockettes,2935,"{'lat': 40.75902939, 'lng': -73.97929382}",Cultural Events,4.5,139.99,40.75902939,-73.97929382
38,38,38,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d548557-Reviews-The_Roosevelt_Island_Tramway-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/34/b0/10/the-roosevelt-island.jpg?w=500&h=400&s=1,39. The Roosevelt Island Tramway,3757,"{'lat': 40.71304703, 'lng': -74.00723267}",Trams,4.5,600.0,40.71304703,-74.00723267
39,39,39,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d136028-Reviews-Lincoln_Center_for_the_Performing_Arts-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/21/d8/3f/photo0jpg.jpg?w=500&h=400&s=1,40. Lincoln Center for the Performing Arts,2499,"{'lat': 40.77602386, 'lng': -73.98724365}",Theaters,4.5,99.0,40.77602386,-73.98724365
40,40,40,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d105055-Reviews-St_Paul_s_Chapel-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/f3/22/15/het-kerkje.jpg?w=500&h=-1&s=1,41. St. Paul's Chapel,3460,"{'lat': 40.71304703, 'lng': -74.00723267}",Religious Sites • Churches & Cathedrals,4.5,109.0,40.71304703,-74.00723267
41,41,41,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d209439-Reviews-Madame_Tussauds_New_York-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/de/61/76/selfie-with-kylie-jenner.jpg?w=500&h=400&s=1,42. Madame Tussauds New York,8249,"{'lat': 40.714553, 'lng': -74.03454702}",Speciality Museums,4.0,56.0,40.714553,-74.03454702
42,42,42,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d104363-Reviews-Flatiron_Building-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/28/1e/13/flatiron-building-co.jpg?w=500&h=400&s=1,43. Flatiron Building,3458,"{'lat': 40.73847961, 'lng': -73.9899292}",Architectural Buildings,4.5,78.0,40.73847961,-73.9899292
43,43,43,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d136354-Reviews-Washington_Square_Park-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/6c/80/e5/washington-square-arch.jpg?w=500&h=400&s=1,44. Washington Square Park,3658,"{'lat': 40.72782516, 'lng': -73.99477386}",Points of Interest & Landmarks • Parks,4.5,94.99,40.72782516,-73.99477386
44,44,44,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d104360-Reviews-Chrysler_Building-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/16/00/b4/le-chrysler-dominant.jpg?w=500&h=-1&s=1,45. Chrysler Building,3075,"{'lat': 40.71304703, 'lng': -74.00723267}",Architectural Buildings,4.5,239.0,40.71304703,-74.00723267
45,45,45,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d265495-Reviews-Museum_at_Eldridge_Street-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/1a/07/c9/balcony.jpg?w=500&h=-1&s=1,46. Museum at Eldridge Street,501,"{'lat': 40.71304703, 'lng': -74.00723267}",Speciality Museums,4.5,40.0,40.71304703,-74.00723267
