attration_id,country,province,city,lien_detail,per_adult_value,image,titre,nbre_review,address,description,time,score,long_description,price
115,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d11455818-Evening_Harlem_Jazz_Tour-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3f/25/2e/caption.jpg?w=500&h=400&s=1,116. Evening Harlem Jazz Tour,15,"{'lat': 40.71304703, 'lng': -74.00723267}",Historical Tours,3–4 hours,5.0,What better way to end an evening in Harlem than with some sightseeing and live jazz. When the lights go down on this famous…,66.0
116,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d26777553-Central_Park_Helicopter_Tour-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/9e/b8/ba/caption.jpg?w=500&h=400&s=1,117. Central Park Helicopter Tour,1,"{'lat': 40.71304703, 'lng': -74.00723267}",Adventure Tours,17–19 minutes,5.0,"Central Park and the Statue of Liberty are not only cherished by New Yorkers, they are significant to our country’s history…",274.0
117,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d18909871-Stand_Up_Comedy_LIVE_in_Times_Square_At_Broadway_Comedy_Club-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5e/05/d0/caption.jpg?w=500&h=400&s=1,118. Stand Up Comedy LIVE in Times Square At Broadway Comedy Club,9,"{'lat': 40.71304703, 'lng': -74.00723267}",Food & Drink,1–2 hours,4.5,Broadway Comedy Club presents a lineup full of our Top Headliners. These are the best comedians from New York City with …,25.0
118,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d17718854-NYC_Christmas_Lights_Tour_By_LIMOUSINE_Manhattan_And_Dyker_Heights-New_York_City_Ne.html,per group,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/44/77/43/caption.jpg?w=500&h=400&s=1,119. NYC Christmas Lights Tour By LIMOUSINE - Manhattan And Dyker Heights,34,"{'lat': 40.71304703, 'lng': -74.00723267}",Luxury Car Tours,3–4 hours,5.0,"Winter is the most wonderful time of the year!
One neighborhood in New York is particular – Dyker Heights in Brooklyn. There…",899.0
119,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d12265653-The_Play_That_Goes_Wrong_Off_Broadway_Show_Ticket-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/96/7f/e5/the-play-that-goes-wrong.jpg?w=500&h=400&s=1,120. The Play That Goes Wrong Off Broadway Show Ticket,19,"{'lat': 40.71304703, 'lng': -74.00723267}",Theater Shows,2 hours,4.5,"The Play That Goes Wrong introduces audiences to the Cornley Polytechnic Drama Society, a performance troupe attempting …",101.0
120,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d15193668-Guided_Standard_Central_Park_Horse_Carriage_Ride_Up_to_4_Adults-New_York_City_New_Y.html,per group,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/48/c7/caption.jpg?w=500&h=400&s=1,121. Guided Standard Central Park Horse Carriage Ride (Up to 4 Adults),53,"{'lat': 40.71304703, 'lng': -74.00723267}",Romantic Tours,45 minutes,4.5,"As a must-see New York City destination, there are numerous tours that will take you through Central Park. But for a truly…",195.0
121,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d25293229-Gilded_Age_Mansions_Tour_in_New_York-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/0f/a3/68/caption.jpg?w=500&h=400&s=1,122. Gilded Age Mansions Tour in New York,35,"{'lat': 40.71304703, 'lng': -74.00723267}",Historical Tours,2 hours,5.0,Scandals! Murder! Romance Architecture! Come step inside some of the few remaining Gilded Age mansions of Fifth Avenue and…,40.0
122,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d13286651-Statue_of_Liberty_Tour_with_Ellis_Island_Museum_of_Immigration-New_York_City_New_Yo.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/b2/2c/d0/caption.jpg?w=500&h=400&s=1,123. Statue of Liberty Tour with Ellis Island & Museum of Immigration,150,"{'lat': 40.71304703, 'lng': -74.00723267}",Day Cruises,4 hours,4.5,No trip to New York would be complete without visiting and learning about one of the most well-known monuments in the world…,59.0
123,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d23826948-Personalized_New_York_City_Sightseeing_Tour-New_York_City_New_York.html,per group,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/c7/3b/af/caption.jpg?w=500&h=400&s=1,124. Personalized New York City Sightseeing Tour,27,"{'lat': 40.71304703, 'lng': -74.00723267}",Adventure Tours,4–8 hours,5.0,"Public transportation in NYC can be expensive and crowded, booking with us you get to experience a custom-made, private …",600.0
124,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d26612046-Foods_of_NY_Tours_Chelsea_Market_Food_Tour_High_Line_Park-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/3d/87/4a/caption.jpg?w=500&h=400&s=1,125. Foods of NY Tours Chelsea Market Food Tour & High Line Park,26,"{'lat': 40.71304703, 'lng': -74.00723267}",Food & Drink,3 hours,5.0,"We are the pioneers of NYC food tours since 1999!

Our tour will not only leave you full with EIGHT TASTINGS (not samples…",72.0
